"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",1,0,1984,54,8,0,0,3050,0,15,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0
"2",1,0,1985,55,8,0,0,4510.05,0,15,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"3",1,0,1986,56,7,0,0,3500,0,15,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"4",2,1,1984,44,7,0,0,3050,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"5",2,1,1985,45,8,0,0,3182.779,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"6",2,1,1986,46,7,0,0,3500,0,9,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
"7",2,1,1988,48,8,0,0,3530.501,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"8",3,1,1984,58,10,0.1687193,6.701853,1434,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"9",3,1,1986,60,9,1,70,3000,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"10",3,1,1987,61,10,0,0,1100,0,11,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0
"11",3,1,1988,62,10,1,70,1000,0,11,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0
"12",4,1,1985,29,10,0,0,1300,0,18,0,0,0,0,1,1,1,0,1,0,0,4,0,1,0
"13",5,0,1987,27,9,1,7.649712,650,0,11.81824,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"14",5,0,1988,28,10,0,0,600,0,11.81824,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0
"15",5,0,1991,31,10,0,0,1550,0,11.81824,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
"16",6,0,1985,25,10,0,0,1600,1,9,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0
"17",6,0,1986,26,9,0,0,3000,1,9,1,1,0,0,0,0,1,1,0,0,0,3,1,1,0
"18",6,0,1987,27,8,1,7.649712,3000,1,9,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"19",6,0,1988,28,10,0,0,2000,1,9,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0
"20",6,0,1991,31,2,0,0,1800,1,9,1,1,0,0,0,0,0,0,0,0,0,18,0,1,0
"21",7,1,1987,26,9,1,3.396562,3000,1,10,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"22",7,1,1988,27,7,0,0,2000,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"23",7,1,1991,30,9,0,0,1800,1,10,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0
"24",8,0,1984,64,0,1,70,1500,0,10.5,0,1,0,0,0,0,1,1,0,0,0,7,2,1,0
"25",9,0,1984,30,9,0,0,2400,0,13,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0
"26",9,0,1987,33,8,1,7.649712,2650,0,13,0,0,0,0,1,1,1,0,1,0,0,7,0,1,0
