,q3,q4,q5,q6,q7,q8,q9,assessments,explanation,debates,activities,rp,qna,application,videos,diagrams
0,4,3,2,3,4,2,2,1,0,0,0,0,0,0,0,0
7,3,3,4,4,4,3,4,0,0,1,0,0,1,1,0,0
8,4,3,3,3,3,3,3,1,1,0,0,0,1,0,0,0
9,3,2,3,2,5,3,2,1,0,0,0,0,0,1,0,1
10,3,2,1,1,5,1,1,0,0,1,1,0,0,1,1,0
11,2,2,3,3,4,2,3,0,0,0,0,0,1,0,0,1
16,4,3,3,2,2,1,1,1,1,0,1,0,0,1,1,0
18,3,2,3,4,5,3,2,1,0,0,0,0,1,0,1,0
19,5,2,2,2,4,2,1,1,0,0,0,0,0,0,0,0
20,2,2,4,2,5,1,3,1,0,1,1,0,1,0,1,0
21,4,3,3,4,1,1,4,1,0,0,1,1,0,1,1,1
22,3,4,4,4,4,4,2,0,1,1,1,0,1,0,1,0
24,1,1,4,3,4,3,4,1,0,0,0,0,1,0,0,0
25,4,3,4,4,4,3,3,1,0,0,0,0,1,0,1,0
26,4,4,5,4,2,3,3,0,0,0,1,0,1,0,1,1
27,5,4,2,2,4,2,3,0,0,0,0,0,0,0,1,0
29,2,2,3,3,3,3,4,0,0,0,0,0,0,0,1,0
30,2,2,2,3,4,1,2,0,0,0,0,0,0,0,0,1
31,2,2,1,2,2,3,4,0,0,0,0,0,1,0,0,0
38,3,2,4,4,3,2,2,0,0,1,0,0,0,1,0,0
40,2,1,2,2,2,1,4,0,0,0,0,0,0,0,1,0
44,4,3,3,3,4,2,4,1,1,0,1,0,1,1,1,1
45,2,1,2,2,4,2,3,0,0,0,0,0,1,0,1,0
47,1,1,3,2,4,2,2,1,0,1,0,0,1,0,1,1
48,4,4,3,4,4,5,5,1,0,0,0,0,1,0,1,0
51,4,3,5,4,4,3,3,0,1,1,0,0,1,1,1,0
52,3,3,4,3,5,1,1,0,0,0,0,0,0,1,1,1
55,1,1,2,2,4,4,2,0,0,0,0,0,0,0,1,0
56,2,2,4,4,5,2,1,1,1,0,0,0,0,0,1,1
58,3,2,4,4,4,4,4,1,1,0,0,0,0,1,1,0
59,2,2,4,3,4,3,4,0,1,0,1,0,1,1,1,1
60,1,1,3,3,4,2,1,1,0,1,0,0,1,0,1,0
61,3,2,3,2,4,1,4,0,0,0,0,0,0,0,1,0
62,4,3,3,2,3,3,3,0,0,0,0,0,0,1,1,1
64,2,1,4,1,5,4,2,0,0,0,1,0,0,0,0,0
65,1,1,3,5,5,2,5,1,0,0,0,0,0,0,0,0
70,3,1,3,2,4,2,2,0,0,0,0,0,1,0,1,0
71,3,2,3,3,4,2,3,0,1,0,1,0,1,0,1,0
72,2,2,3,3,1,3,2,1,0,0,0,0,0,0,1,0
74,1,1,3,1,5,4,4,0,0,0,0,0,0,1,0,0
75,2,1,2,1,5,2,1,1,0,0,1,0,1,0,1,1
76,2,2,3,1,4,1,1,0,1,0,0,0,1,1,0,1
77,4,2,3,4,4,2,1,0,0,0,0,0,1,0,1,1
79,4,3,3,4,3,3,3,0,1,0,1,0,1,1,1,0
81,4,4,5,4,1,4,4,0,1,1,0,1,1,1,1,1
82,2,2,4,4,4,2,4,0,1,0,1,0,1,1,1,1
83,3,2,4,3,4,4,3,1,1,1,0,0,1,1,1,0
84,2,2,3,3,4,3,4,0,0,0,0,0,1,0,0,0
85,2,2,2,3,4,3,3,0,0,0,0,0,1,0,1,1
86,3,4,4,3,1,3,3,1,1,1,1,0,1,1,1,1
87,3,2,3,4,4,4,3,0,1,0,0,0,0,0,1,0
90,2,2,3,2,4,1,1,0,0,0,0,0,0,0,0,0
91,3,3,4,4,4,4,4,1,0,0,1,0,0,0,1,0
92,2,4,2,4,5,4,4,1,1,1,0,0,1,0,1,0
93,2,2,2,2,4,2,4,1,0,0,0,0,1,1,1,0
96,3,2,2,3,4,3,2,1,1,1,1,0,0,0,1,0
98,3,2,3,3,3,3,3,0,1,1,1,0,0,1,1,0
99,3,2,2,3,5,4,4,1,1,1,1,0,1,1,1,0
101,1,1,3,3,2,1,1,0,0,0,0,0,1,0,0,0
103,2,1,2,3,4,4,3,0,0,0,0,0,1,0,1,0
104,4,4,4,4,2,4,4,0,1,0,0,0,1,0,1,0
107,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
108,2,3,2,4,5,3,4,1,0,0,1,1,0,0,1,0
109,4,3,3,3,4,3,2,1,1,0,0,0,0,1,1,0
110,3,2,4,3,3,2,4,1,0,0,0,0,0,0,0,0
112,1,1,4,3,4,3,4,0,1,0,0,0,1,1,1,1
113,2,1,2,2,5,1,1,1,0,0,0,0,0,0,1,1
114,4,3,2,3,4,4,2,0,0,0,0,0,0,0,1,1
118,3,2,3,2,4,3,2,0,0,0,0,0,0,0,1,0
121,3,2,1,1,4,1,1,0,0,0,0,0,0,0,0,0
124,4,3,3,3,4,2,4,0,0,0,0,0,1,0,1,0
125,4,2,5,3,5,1,1,1,0,0,0,0,1,1,1,1
126,2,2,3,3,4,4,2,0,0,1,0,0,0,0,1,0
127,4,4,4,3,4,4,5,1,1,0,0,0,1,0,0,1
128,1,1,1,1,5,1,1,1,0,0,0,0,0,0,0,0
132,2,2,3,2,5,4,4,1,0,1,0,0,0,0,1,0
133,2,1,3,4,5,1,1,1,0,0,1,0,1,0,1,0
134,4,4,4,3,4,3,4,1,0,0,1,0,0,0,1,0
139,3,2,2,4,4,1,1,0,0,0,0,0,1,0,1,1
140,3,1,1,1,5,1,3,0,0,0,0,0,0,0,0,0
141,5,5,3,5,4,5,5,0,0,0,1,0,0,0,1,0
142,4,4,2,1,4,1,1,0,0,0,0,0,0,0,1,0
143,4,4,3,2,4,3,4,0,1,0,0,0,1,1,0,0
144,5,2,4,3,4,3,3,1,0,0,0,0,1,0,1,1
145,2,2,2,2,5,2,2,0,0,0,0,0,0,0,0,1
146,2,2,1,2,4,1,1,0,0,0,0,0,0,0,0,0
150,4,2,4,4,5,1,4,0,0,0,1,0,1,0,0,1
152,4,3,4,1,4,1,1,0,0,0,0,0,0,0,1,0
153,3,2,1,2,3,1,3,1,0,0,0,0,0,0,0,0
157,3,2,1,2,5,3,2,1,1,1,1,0,1,1,1,1
158,4,4,5,4,4,2,3,1,0,0,0,0,1,1,1,1
159,2,1,3,1,5,1,1,1,0,0,0,0,0,0,1,1
160,2,3,2,4,2,1,1,1,0,1,0,0,1,1,0,0
161,4,3,4,5,4,2,2,1,1,0,1,1,1,1,1,1
162,4,1,4,3,5,1,4,0,1,1,0,0,0,1,1,0
163,2,1,3,3,4,3,1,1,1,0,1,0,1,1,1,0
