,Timestamp,Indicate your current degree of studies,Which country is your school in?,Are your classes currently being conducted online?,What platform is your online school using?,"The nature and purpose of this research have been sufficiently explained. I understand that I am free to withdraw at any time without incurring any penalty. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I Agree"" button to begin the survey. If not, thank you for your time.",1. How many of the following techniques do your teachers use in class?,3-9. Please indicate how much you agree or disagree with the following statements: [I enjoy having classes online.],3-9. Please indicate how much you agree or disagree with the following statements: [I feel motivated before class.],3-9. Please indicate how much you agree or disagree with the following statements: [I am satisfied with how my teachers conduct online classes.],3-9. Please indicate how much you agree or disagree with the following statements: [My classes are engaging.],3-9. Please indicate how much you agree or disagree with the following statements: [I am often distracted during class.],3-9. Please indicate how much you agree or disagree with the following statements: [I speak often during each class.],3-9. Please indicate how much you agree or disagree with the following statements: [I often ask the teacher Qs (either verbally or in chat)],"10. If you could change one thing about the way your online classes are designed, what would you change? Why?",11. Do you prefer online classes over in-person classes? Why or why not?,In-class assessments/quizzes,Asking students to explain concepts to the class,Debates,Small group activities where you solve a problem together,Role playing situations,Q&A with students' questions,Asking you to apply class material to a new context,assessments,explanation,debates,activities,rp,qna,application
0,4/5/2020 14:43:07,High school,United States,Yes,Forum,I agree,"In-class assessments/quizzes, Getting students to explain concepts to the class, Debates, Apply class material to different contexts, Small group activities where students collaboratively solve a problem, Role playing situations",Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Limit speaking time for students to ensure equality,"Yes, convenience",1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,4/5/2020 16:13:16,Undergraduate,United States,Yes,ALF,I agree,"In-class assessments/quizzes, Getting students to explain concepts to the class, Debates, Apply class material to different contexts, Small group activities where students collaboratively solve a problem, Role playing situations",Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,I wish there were more rigorous pre-readings assigned.,"I prefer online classes, because they are more convenient and I like being able to look back on recordings.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,4/5/2020 20:32:44,Undergraduate,United States,Yes,Forum,I agree,"In-class assessments/quizzes, Getting students to explain concepts to the class, Debates, Apply class material to different contexts, Small group activities where students collaboratively solve a problem, Role playing situations",Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Ben is best,Online ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4/5/2020 21:01:26,High school,India,Yes,Zoom,I agree,"In-class assessments/quizzes, Mainly lectures ",Agree,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Needs to be more engaging,It's easy to get distracted in an online class.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,4/6/2020 4:13:30,Undergraduate,Netherlands,Yes,Zoom,I agree,"Debates, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Less discussion more teaching ,"No, you don’t absorb the content the same way ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
12,4/6/2020 4:13:42,Undergraduate,United Kingdom,Yes,Google Teams,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Q&A with students' questions",Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Timing,I like in person classes as I prefer the social aspect. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,4/6/2020 4:13:52,High school,United Kingdom,Yes,Google classroom ,I agree,"In-class assessments/quizzes, Explanation using Diagrams, Asking you to apply class material to a new context",Neutral,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Be able to have a zoom call or something instead of just being given tasks on a PowerPoint ,In person - no distractions ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,4/6/2020 4:13:56,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Debates, Small group activities where you solve a problem together, Asking you to apply class material to a new context",Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Not having them pre-recorded ,"Yes because I can rewind the videos, no because they feel less engaging and beneficial. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
15,4/6/2020 4:13:58,Undergraduate,United Kingdom,Yes,Microsoft teams,I agree,"Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,More interaction and time for questions ,No because I prefer personal interaction ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
20,4/6/2020 4:14:15,High school,United Kingdom,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Asking you to apply class material to a new context",Agree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,more ability to interact with the teacher ,"In person, easier to conmunicaye when there is an issue in understanding and it keeps me focused ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
